 =0.128675
О = 0.096456    ('2', 79)
И = 0.075312    ('К', 61)
Е = 0.072292    ('Ь', 60)
А = 0.064841    ('t', 46)
Н = 0.061820    ('Ы', 41)
Т = 0.061619    ('r', 40)
С = 0.051953    ('Д', 40)
Р = 0.040677    ('>', 36)
В = 0.039267    ('О', 35)
М = 0.029803    ('<', 26)
Л = 0.029400    ('Б', 18)
Д = 0.026983    ('Й', 17)
Я = 0.026379    ('Я', 16)
К = 0.025977    ('1', 16)
П = 0.024768    ('Ч', 14)
З = 0.015908    (' ', 13)
Ы = 0.015707    ('М', 12)
Ь = 0.015103    ('0', 12)
У = 0.013290    ('Х', 7)
Ч = 0.011679    ('А', 7)
Ж = 0.010673    ('a', 7)
Г = 0.009867    ('Л', 6)
Х = 0.008659    ('8', 5)
Ф = 0.007249    ('Е', 5)
Й = 0.006847    ('c', 5)
Ю = 0.006847    ('3', 4)
Б = 0.006645    (',', 4)
Ц = 0.005034    ('.', 3)
Ш = 0.004229    ('b', 3)
Щ = 0.003625    ('9', 2)
Э = 0.002416    ('Ф', 1)
Ъ = 0.000000    ('?', 1)
